text,target,is_offensive
Suriyeliler yozlaşıp toplumda huzuru bozuyorlar,RACIST,1
işe yaramaz herif,INSULT,1
ah canım kızın var mı sızın var,SEXIST,1
Sikimde misin lan sen amcık hoşafı,PROFANITY,1
kadın dırdırı,SEXIST,1
annenin babası bir türk bile olsa umurumda değil ama tanrıya inanmadığını öğrenirsem intihar ederim,RACIST,1
sen ne kadar terbiyesizsin,INSULT,1
Özsaygısı düşük birisin,INSULT,1
ben bunu istemedim,OTHER,0
Moskof gavurumusun,RACIST,1
Ananın amına ceviz sokayım,PROFANITY,1
senin jeton kaç köşeli,INSULT,1
köpek gibi ne havlayıp duruyorsun,INSULT,1
kasaba muhtaç olacağıma sikimi keser onu yerim,PROFANITY,1
ancak bana geri dönmediler,OTHER,0
özellikle büyük şehirlere aynı gün içinde değişik saatlerde birçok sefer yapılmaktadır,OTHER,0
Hey George senin sorunun bir Amerikalı olman dostum,RACIST,1
bir böcek gibi tiksiniyorum senden,INSULT,1
bir terapi belki de,OTHER,0
Kadın evinin süsüdür ve ona göre hareket etmelidir,SEXIST,1
Bu aptalca bir fikir neden daha iyi bir şey bulmaya çalışmıyorsun,INSULT,1
çanakkale bigadiçli nazife kadın,OTHER,0
Erkeğin şeytanı kadın,SEXIST,1
Zeki olduğunu düşünen bir kadın erkekle aynı hakları ister Zeki bir kadın vazgeçer,SEXIST,1
kadın kocasına ömrünü dar eder,SEXIST,1
siz siz olun hayatınıza birden bire giren bu mallara prim vermeyin,INSULT,1
Bunları toplayacaksın dolduracaksın fırınlara yakacaksın Hitler’in Yahudilere yaptığı gibi,RACIST,1
agzina salincak kurar sallana sallana sicarim,PROFANITY,1
makineler bilgilerini çok çabuk olarak paylaşabilirler,OTHER,0
"İspanyolların hepsinin, en& az 10, çocukları& var",RACIST,1
siktir git büyük yazdım seneye okursun,PROFANITY,1
amın. oğlu sebastiyan,PROFANITY,1
Erkek dediğin adam gibi olur,SEXIST,1
Suriyelilere gıcığız,RACIST,1
Bu kadar ezik davranma lütfen,INSULT,1
Seni cibiliyetsiz orospunun doğurduğu,PROFANITY,1
kırmızı büyük< harflerden oluşan savaş logosunu üstteki satıra yazılan türklük< ve mukaddesat düşmanlarıyla- ibaresi tamamlıyordu,OTHER,0
ayak ayak değil toynak,INSULT,1
Çingene evinde kaymak eğlenmez / bulunmaz,RACIST,1
